"Arquivo","AntesMB","DepoisMB","EconomiaPct","Status"
"public\assets\love-scene-estilo\kit\boca.png","0,171","0,036","78,9","convertido"
"public\assets\love-scene-estilo\kit\boca02.png","0,384","0,049","87,1","convertido"
"public\assets\love-scene-estilo\kit\botas-02.png","0,382","0,063","83,5","convertido"
"public\assets\love-scene-estilo\kit\botas.png","0,063","0,015","75,7","convertido"
"public\assets\love-scene-estilo\kit\camera.png","0,575","0,114","80,1","convertido"
"public\assets\love-scene-estilo\kit\cantoinferiordireito.png","0,27","0,049","81,7","convertido"
"public\assets\love-scene-estilo\kit\catfashion.png","0,125","0,024","80,9","convertido"
"public\assets\love-scene-estilo\kit\channel.png","0,596","0,11","81,6","convertido"
"public\assets\love-scene-estilo\kit\cinema.jpg","0,133","0,117","11,6","convertido"
"public\assets\love-scene-estilo\kit\coke.png","0,407","0,061","85,1","convertido"
"public\assets\love-scene-estilo\kit\coke2.png","0,165","0,024","85,2","convertido"
"public\assets\love-scene-estilo\kit\coracao-01.png","0,078","0,022","72,5","convertido"
"public\assets\love-scene-estilo\kit\coracao-02.png","0,065","0,018","72,7","convertido"
"public\assets\love-scene-estilo\kit\coracao-04.png","0,086","0,023","73","convertido"
"public\assets\love-scene-estilo\kit\dontflash.png","0,319","0,048","84,9","convertido"
"public\assets\love-scene-estilo\kit\ficardecanto-01.png","0,362","0,056","84,6","convertido"
"public\assets\love-scene-estilo\kit\flor-01.png","0,158","0,037","76,5","convertido"
"public\assets\love-scene-estilo\kit\flor-02.png","0,174","0,044","74,6","convertido"
"public\assets\love-scene-estilo\kit\flor-03.png","0,34","0,099","70,9","convertido"
"public\assets\love-scene-estilo\kit\flor-04.png","1,63","0,221","86,4","convertido"
"public\assets\love-scene-estilo\kit\flor-05.png","0,052","0,02","61,2","convertido"
"public\assets\love-scene-estilo\kit\laco-01.png","0,103","0,033","67,7","convertido"
"public\assets\love-scene-estilo\kit\laco-02.png","0,129","0,036","72,6","convertido"
"public\assets\love-scene-estilo\kit\laco-03.png","0,124","0,036","71,1","convertido"
"public\assets\love-scene-estilo\kit\laco-04.png","0,144","0,044","69,8","convertido"
"public\assets\love-scene-estilo\kit\laco-05.png","0,117","0,037","68,1","convertido"
"public\assets\love-scene-estilo\kit\model-01.png","0,404","0,09","77,8","convertido"
"public\assets\love-scene-estilo\kit\model-02.png","0,287","0,07","75,7","convertido"
"public\assets\love-scene-estilo\kit\model-03.png","1,121","0,233","79,2","convertido"
"public\assets\love-scene-estilo\kit\model-04.png","0,244","0,048","80,3","convertido"
"public\assets\love-scene-estilo\kit\model-05.png","0,265","0,049","81,3","convertido"
"public\assets\love-scene-estilo\kit\model-06.png","0,303","0,036","88,2","convertido"
"public\assets\love-scene-estilo\kit\pin.png","0,194","0,029","84,9","convertido"
"public\assets\love-scene-estilo\kit\prada.png","0,9","0,083","90,7","convertido"
"public\assets\love-scene-estilo\kit\relogio.png","0,626","0,131","79","convertido"
